qtr,East North Central_Asian,East South Central_Asian,Middle Atlantic_Asian,Mountain_Asian,New England_Asian,Pacific_Asian,South Atlantic_Asian,West North Central_Asian,West South Central_Asian,US_Asian,East North Central_Black,East South Central_Black,Middle Atlantic_Black,Mountain_Black,New England_Black,Pacific_Black,South Atlantic_Black,West North Central_Black,West South Central_Black,US_Black,East North Central_Hispanic,East South Central_Hispanic,Middle Atlantic_Hispanic,Mountain_Hispanic,New England_Hispanic,Pacific_Hispanic,South Atlantic_Hispanic,West North Central_Hispanic,West South Central_Hispanic,US_Hispanic,East North Central_White,East South Central_White,Middle Atlantic_White,Mountain_White,New England_White,Pacific_White,South Atlantic_White,West North Central_White,West South Central_White,US_White
2012 Q2,0.04952965497096394,0.09019742090050399,0.05165398370366323,0.07069251485713002,0.03988601544128953,0.06377102883342442,0.043720877154254024,0.050180053490345544,0.05503242903520622,0.0637270256705133,0.15031238704714137,0.14240920963215498,0.1446491678050913,0.09258430131528186,0.14794285056290624,0.1424234669470282,0.12702712681659944,0.11917541600983976,0.11117172506809107,0.1364964531959855,0.0993458553363612,0.08530568188218772,0.11785835070175428,0.09751741794457364,0.13311047047156288,0.1056284722141952,0.08554877226788553,0.07244807886982517,0.07790368003658209,0.10644923564842323,0.07100482995063397,0.06896259294911125,0.07285405392371135,0.06417845861903193,0.06233167638839492,0.06747913646095594,0.06695854851338906,0.042324651994867915,0.046819005479727144,0.06747600364135208
2012 Q3,0.04565223939178041,0.04816708893104546,0.05623454824722773,0.07571187537228358,0.038843393427539216,0.05623002450584567,0.0438537024534455,0.05185968151814921,0.05289934850785222,0.05933811180173605,0.16282459295130636,0.14751035816014085,0.14438427711490057,0.0917872380186648,0.12303615997023837,0.15276962343995068,0.12870546896196003,0.11583721646181314,0.11474648378443512,0.1408567439714343,0.09241447081408014,0.06569981593803405,0.11276711283039452,0.09865718765362831,0.12937329929169702,0.09971770188909268,0.08566763101212053,0.061031142953595054,0.07367255836685242,0.10112079373254249,0.06913062867716713,0.06790132268362543,0.07335662948166043,0.060898630192373605,0.0641300197055398,0.06562293630273595,0.06329408342236179,0.042473410872816635,0.04520089555660259,0.06583788252864314
2012 Q4,0.05796214197879957,0.04587521077511242,0.05796006076407341,0.06615053597316914,0.04315056765709728,0.05724524576800194,0.049054144722486336,0.04744177605269534,0.05955778974237808,0.06166058588419805,0.18088206706585352,0.13253226170147958,0.1453374813684272,0.10400615701714722,0.1074235411839045,0.13960933359227323,0.13272754974306747,0.11392829561805645,0.11475216824703272,0.140135888382399,0.10239755721248842,0.08395339723732767,0.10692897026826523,0.09984953544617912,0.1198861352694339,0.09579589665761944,0.08386508427275095,0.05850716562536072,0.0694217186288803,0.09788780714801029,0.06573102011018,0.06805762098620333,0.07162766279024313,0.05781639365554569,0.0640408688498339,0.06171033891049152,0.05957217430247773,0.042280904520329815,0.045394799520697485,0.06290060030174284
2013 Q1,0.0596020085656042,0.043519818289416756,0.06128714755942091,0.07027914999910477,0.049522450999084734,0.05675636328266742,0.05003733915527451,0.0378555421868565,0.049485889861650166,0.06203212280494777,0.16853155928596839,0.12841960353069853,0.13442084116118133,0.10495909498922128,0.10934671060587202,0.12809607949220966,0.12886176838573316,0.11341528767634301,0.11835722889235868,0.13492779552379117,0.12082809168689207,0.09906210072663994,0.10679172745628229,0.09843884431320608,0.13080463764162492,0.09195870514535054,0.07819279218683059,0.06464729940916449,0.07044266324157353,0.09807309543376608,0.0667236034277023,0.0680925846478592,0.0697258430016668,0.054359127299874826,0.061836582677516405,0.059805488408749746,0.05892310574037659,0.04147950465676076,0.0467829220176212,0.06249988031461472
2013 Q2,0.043002101139209756,0.036326961064129616,0.05590802483625241,0.0757031817589138,0.05205407827409664,0.05103629565893751,0.04598423610610325,0.03806197605995419,0.04544547365255569,0.05528703415610008,0.1541691773504607,0.13511213098881691,0.13033893629067803,0.1131649397278136,0.11187154766950878,0.1378054216929901,0.12126482385003094,0.10757325482837586,0.1195261130223103,0.132485553681697,0.11387139083942996,0.09078158997796879,0.10258582156446026,0.08788026977766586,0.1281748843849632,0.08394047302444888,0.07403440384444702,0.06850458955451057,0.07038259786718576,0.09148080177998798,0.06803160333972914,0.06623003589838634,0.06755887718947357,0.05254623139684701,0.06045468868370681,0.061774093813619445,0.057708988883970386,0.040458167698558666,0.046630916339033365,0.06216222588249848
2013 Q3,0.039608434150575425,0.03265781138789488,0.04699276766992993,0.07680917358330695,0.061359136366850774,0.051233188198835246,0.04541379153448683,0.039730368321767635,0.04201980291921807,0.05311309251041604,0.16045680262960935,0.1426677887406781,0.13985567639027718,0.13556092617618995,0.11355702710203891,0.1364557775681396,0.11697279331086718,0.10805404044226016,0.11040968863300998,0.13177252936426956,0.10520546337385307,0.08680753960642684,0.10053367148520075,0.08147165566357462,0.12411942720476732,0.0828269679911182,0.06926324755779799,0.06046174150027164,0.0708185595060975,0.08734980420735101,0.06566563093312612,0.06222729272193681,0.06282795933291338,0.051203527591782656,0.058273222764466906,0.06053520432585086,0.05571725169849138,0.03970826021409396,0.04527630241673493,0.05900339109503495
2013 Q4,0.032453764229009634,0.031028825396890322,0.054175000139701134,0.0693027844207409,0.06061292498426356,0.053038506344936974,0.041956645228123,0.044981137628372324,0.033459315556190895,0.05362045130223948,0.15905665313229272,0.1336673877670676,0.13347889483505734,0.13687783534827003,0.10641777068199605,0.11793330905404499,0.1134871184872478,0.10722475736533066,0.10368560853413955,0.1256838433122853,0.10673268210137268,0.07851052989308324,0.09843646472294808,0.08263539351565016,0.13117930007722292,0.08333671507436867,0.07297469166923444,0.06195013816821316,0.0645539105328779,0.0873074299547234,0.06093316212571286,0.06086414778090643,0.057501884110976405,0.048260056291032354,0.05472878511805547,0.05584413990433624,0.05095634499379348,0.03780982419392217,0.04426408146914418,0.055250706614286715
2014 Q1,0.036465132810428395,0.030191078862959086,0.05972218338788836,0.04080891906731951,0.04682928027171246,0.05203088320096582,0.0427330611018144,0.04317022191600618,0.04047806138870207,0.05318611297372152,0.14760285858213207,0.12687962674028228,0.1190548253243013,0.11214510544532769,0.11219572495278002,0.11251144753215574,0.10950671627909662,0.10872614451364591,0.10015805380465033,0.1190104055333341,0.09395521116228073,0.07031554907654097,0.09794633033099924,0.07935307051613283,0.1191544288121787,0.08106379104990738,0.07595973468044293,0.06408249410005744,0.057272584439259235,0.08422034478102573,0.05692753528122065,0.059690896479166616,0.053723255061350936,0.04576051563586307,0.05233720074384774,0.053375052947214,0.04795158397457436,0.03648334455206868,0.042620606385124694,0.05305906163971832
2014 Q2,0.04595499735009235,0.018707785487268935,0.06179814293629539,0.029953985118243168,0.054089106989988624,0.05409292214019136,0.04138364270075461,0.036372987546175906,0.0407467679144315,0.052127574402105976,0.13152953397242956,0.13200053839668674,0.10849529824086014,0.09688749945155928,0.12460058726493502,0.11507229739122797,0.10704632245605626,0.11101568292829535,0.09526376915914476,0.1117311008538345,0.0816482102258105,0.06351592586086385,0.09013533735928181,0.07113652736395502,0.10918465427146014,0.07783691604272297,0.0693778612219641,0.06313438478101689,0.05666900304310545,0.07565411934034062,0.05354517575306039,0.055896471790015195,0.05073786675291166,0.044546227169808716,0.048019805958307765,0.05178867912319871,0.04884572267049334,0.03413959639166581,0.04221077909727757,0.04962376212722277
2014 Q3,0.04630065155345114,0.029344500808365016,0.04843051934218701,0.04300310512952908,0.06535108634578646,0.05221388506519168,0.03418623515101759,0.039865974357646446,0.037636769335500725,0.04973542708731158,0.13342036161527385,0.12000648635924965,0.10861474550750522,0.09509261813889228,0.11111638173796079,0.12738432663212418,0.10348633395037456,0.1120938854718077,0.10020239574125717,0.1142411568798438,0.07424290000006636,0.056466982590813224,0.08244099660918816,0.06584066978277331,0.11422319871550742,0.07275703647468515,0.0622174592604793,0.06106378900994818,0.05663932750088132,0.07187985927710579,0.0493158300293956,0.05384374240113916,0.049013679723013674,0.04287881800429269,0.04442025607186121,0.050021186264744014,0.04951397055270548,0.031427909252234904,0.0412439956695198,0.048248421704439985
2014 Q4,0.046859351927954825,0.04201740638267281,0.04644881437682118,0.056360252547347084,0.055687238249682906,0.04549123384354765,0.033056548510848494,0.04795905823240999,0.036904854084310705,0.04693083725873275,0.14338558260266776,0.10146681450632469,0.11744589846127686,0.09967445720072955,0.09180071180539776,0.1239369105320864,0.10048818720947957,0.10640480463919419,0.1072052540912236,0.11051995539259807,0.07338070513855417,0.0639037064210525,0.07634856732922114,0.06309294578843723,0.10468636153959966,0.06693179380532488,0.06006527532941441,0.04988607809259246,0.054513498739635645,0.06719620813878632,0.04378565443779706,0.052530312280829265,0.04630241219837118,0.04044336461751078,0.04413190141532347,0.04906681512744872,0.04753470568951563,0.03069158752106544,0.03828442212943041,0.044578181459895436
2015 Q1,0.039025968787327635,0.06409981668072214,0.04816610405910162,0.038431509051916876,0.037054347304840425,0.04224754478281199,0.03493410250292905,0.04103330173183199,0.03063187684508259,0.043554544745523865,0.1213464986610177,0.09345740771650725,0.11449236744117613,0.09939612585331584,0.10812534001084749,0.10137121737595584,0.10049260828978629,0.09194076528901492,0.10212977197019686,0.10339907363359158,0.07601733212406549,0.059585755057896754,0.07674537550876324,0.06529429398166325,0.09371559618437579,0.06728777655898208,0.06313044437489675,0.03720107148923702,0.052404444690357016,0.06729426480423943,0.04313601390622028,0.05165156265488414,0.04429116003422114,0.038838320173360294,0.04108806894730526,0.04655103761885988,0.04464603342703635,0.031577181728925034,0.03964468126340335,0.04355150054055355
2015 Q2,0.039987757764019936,0.051925801592993155,0.04057057686062982,0.027316042782636347,0.027159644097683452,0.04186813312926366,0.036017433205772914,0.027105678975517657,0.03287145594006954,0.04065360527409004,0.10441160465433606,0.09222102099510576,0.10296827812561321,0.089770371999674,0.09381263296589051,0.09172145241765589,0.09933113648124194,0.09650132209627102,0.09055149517410299,0.09802266004710868,0.06600716517160113,0.056162792062591,0.07833026824750838,0.0679498226400733,0.09779562902836822,0.06736553270731142,0.06490812127499496,0.036118389498801105,0.052321635644795333,0.06723848315306144,0.04316437998679029,0.05012025984127641,0.043816307996998545,0.03811748869615838,0.03890423215982881,0.04466719454679611,0.04272656807631444,0.03152747530955413,0.04096062498983981,0.0432656255698585
2015 Q3,0.04442158607882207,0.04074448398931935,0.04159926568733779,0.04212176726069836,0.029445937356866438,0.03870546575421766,0.04510696818188843,0.02423861896992737,0.030550727788373706,0.0401439443278612,0.11698453045813585,0.09700685658379819,0.09239163851857395,0.06851132793124005,0.07177554284528742,0.09799693931611873,0.09169439427883994,0.09971435447549395,0.08735803858933633,0.0937734425586417,0.060924769470008966,0.0638765114916389,0.06609678436225512,0.06869919662173771,0.10875603145811012,0.06433380287277608,0.06018791158843536,0.03746073820916667,0.05243451908833523,0.06330955553391383,0.038647030238701745,0.04531848852396237,0.04305670904992253,0.037186042435255126,0.03655013794096636,0.04406245025140949,0.041640876741135535,0.03023577228806393,0.038724349817236305,0.04006190736690293
2015 Q4,0.03994239860764126,0.051255060084211046,0.04183615601186286,0.048508308873724225,0.03998818956075479,0.034692134913317234,0.04158827717233123,0.03419705079647453,0.02741872246748073,0.03921598777590516,0.11649516874881839,0.09677615652134654,0.08660983399471528,0.06957761913364542,0.08445359821173858,0.10463122058298385,0.09006206439150417,0.08340838659303697,0.08581960478076055,0.09346233792564045,0.06892881810134956,0.058826821371273534,0.06392885823475362,0.06938929531817738,0.09905045122060238,0.06455888148308886,0.054569692038678265,0.045671748443691804,0.05268003956058099,0.06377188963793237,0.03771805890660797,0.04462027880055665,0.04158995925379854,0.03627210424008881,0.033565902792219396,0.042506152930468354,0.040393458730723183,0.029312904069178292,0.03731689486775396,0.0391093934380218
2016 Q1,0.03693607681420472,0.0213694970174814,0.04132901437596114,0.0421045696510826,0.03409533675013823,0.03517265481781781,0.03350518118208278,0.028942909001659297,0.03946335666571357,0.03705667229415496,0.10653771774881611,0.08999607480304564,0.08336112585707907,0.07985203178184438,0.0839442831239982,0.09759186224779182,0.08902267923183836,0.0828413121152647,0.08160396936594551,0.08853207855354092,0.06552580307685808,0.05068433095011433,0.07010976339201203,0.06625474867662715,0.07474520148303722,0.06288294632468124,0.05070310679656366,0.05328251308991639,0.050460589296452994,0.059889275837284005,0.04028200097423287,0.046389035232765295,0.04086344650796825,0.03808982893286794,0.03395287454846556,0.04184094639632477,0.03961279054227282,0.028531996336580972,0.03678642485009343,0.0390045876638403
2016 Q2,0.03224937841924078,0.019658725896635133,0.0374569241647816,0.043356642571454974,0.028379137071972073,0.035127813548942476,0.03849056795085877,0.02515073479159889,0.04453304777734159,0.03699989274847263,0.10702517537689528,0.09484170267325721,0.08270802740795466,0.08755165360707234,0.062327637573543385,0.07799806820442194,0.08649323389052396,0.08916492440711377,0.08034961237933716,0.08747657957172394,0.05831229762262679,0.0584751388072623,0.07152469175043957,0.06216881317163977,0.07841512062019804,0.06234067456258926,0.04336925209356197,0.04446383947876233,0.04733358532549814,0.05776506332759849,0.04006668659171952,0.04281477019176271,0.04207509897664826,0.03792023851945198,0.03422382794121214,0.043367966858409386,0.0398350605116275,0.029377621407294528,0.039465077186594276,0.040169671892958954
2016 Q3,0.028800966573851228,0.05032536480872601,0.04507754783638709,0.0400271021436297,0.02632901575732276,0.03607262260233065,0.042466766190704906,0.04061836476770504,0.045870479548614854,0.03993750055744529,0.10829124259932231,0.09351278282477196,0.07976407063922254,0.09011206712669925,0.0647583310961225,0.07570744002703231,0.08238184692097685,0.09046123732670226,0.08276053067285792,0.08576302388010507,0.05416453144166397,0.04884225397182051,0.06678157640731358,0.0637264905176074,0.07548734958932456,0.0600673234412238,0.04541624985018822,0.05246853728077649,0.04668304054404532,0.057218047244377734,0.03941353637648057,0.04302557292515085,0.04313811987556693,0.035524976265223954,0.032995652512834026,0.04432756966339408,0.04005869683972091,0.028773396391541035,0.04004976297483642,0.039807631467474944
2016 Q4,0.023738356118459272,0.05521711377581288,0.043560846255555626,0.03816309759321313,0.02436067527861703,0.033557384390986184,0.03961579410031105,0.048442514995875006,0.04000820082024826,0.03718476890936741,0.10041310429029648,0.08530020149761923,0.07659066402496216,0.07598015214129254,0.08139700149036289,0.08083486886090359,0.07704615179210353,0.08761151000073826,0.08307669651530068,0.08199549184130847,0.05530023759058187,0.04961000486033373,0.0657164184879214,0.061322460695511435,0.0605253046586632,0.05997457597528104,0.04877746302286463,0.060657510507911114,0.05057468030190781,0.05732274537499634,0.03984850342714694,0.044664272645458365,0.042077456251353576,0.03625375710529841,0.03249269932063753,0.0418347869182808,0.04025358258840953,0.027524636995436252,0.03668957722560093,0.038710631299104986
